arch,case_id,klass,klass_name,dice,hd95
baseline,pancreas_001,1,pancreas,0.56064,3.16228
baseline,pancreas_001,2,mass,0.24069,11.47773
baseline,pancreas_069,1,pancreas,0.55422,6.0
baseline,pancreas_069,2,mass,0.19145,5.09902
baseline,pancreas_211,1,pancreas,0.60583,4.24264
baseline,pancreas_211,2,mass,0.20779,3.09737
baseline,pancreas_120,1,pancreas,0.47059,17.80443
baseline,pancreas_120,2,mass,0.14151,8.79187
baseline,pancreas_354,1,pancreas,0.43857,7.05685
baseline,pancreas_354,2,mass,0.21239,31.41958
baseline,pancreas_159,1,pancreas,0.66705,3.74166
baseline,pancreas_159,2,mass,0.49359,2.23607
baseline,pancreas_343,1,pancreas,0.51741,5.74456
baseline,pancreas_343,2,mass,0.0,7.23851
baseline,pancreas_106,1,pancreas,0.62098,4.12311
baseline,pancreas_106,2,mass,0.0,
baseline,pancreas_372,1,pancreas,0.5122,4.18287
baseline,pancreas_372,2,mass,0.0,18.34663
baseline,pancreas_015,1,pancreas,0.69239,4.0
baseline,pancreas_015,2,mass,0.0745,8.06226
baseline,pancreas_386,1,pancreas,0.68448,3.31662
baseline,pancreas_386,2,mass,0.0,20.99166
baseline,pancreas_037,1,pancreas,0.54742,6.32456
baseline,pancreas_037,2,mass,0.0,41.55718
baseline,pancreas_350,1,pancreas,0.67198,3.0
baseline,pancreas_350,2,mass,0.0,25.2687
baseline,pancreas_187,1,pancreas,0.59377,8.18535
baseline,pancreas_187,2,mass,0.0,36.06522
baseline,pancreas_285,1,pancreas,0.67253,3.0
baseline,pancreas_285,2,mass,0.0,8.49977
baseline,pancreas_122,1,pancreas,0.6395,3.31662
baseline,pancreas_122,2,mass,0.20822,5.45421
baseline,pancreas_183,1,pancreas,0.61436,4.24264
baseline,pancreas_183,2,mass,0.0,14.30012
baseline,pancreas_199,1,pancreas,0.72393,2.0
baseline,pancreas_199,2,mass,0.59082,20.23362
baseline,pancreas_074,1,pancreas,0.3916,11.44552
baseline,pancreas_074,2,mass,0.21786,8.0
baseline,pancreas_291,1,pancreas,0.75379,1.41421
baseline,pancreas_291,2,mass,0.77852,1.0
baseline,pancreas_215,1,pancreas,0.65388,4.58258
baseline,pancreas_215,2,mass,0.0,7.34847
baseline,pancreas_049,1,pancreas,0.68877,5.19615
baseline,pancreas_049,2,mass,0.21212,11.53023
baseline,pancreas_077,1,pancreas,0.68454,2.23607
baseline,pancreas_077,2,mass,0.46795,3.0
baseline,pancreas_207,1,pancreas,0.74929,3.0
baseline,pancreas_207,2,mass,0.20155,3.23945
baseline,pancreas_114,1,pancreas,0.66736,3.4641
baseline,pancreas_114,2,mass,0.0,19.74842
baseline,pancreas_166,1,pancreas,0.82357,1.0
